A,B,C,D
Er3+,Sn4+,Li1+,O2-
Mn5+,Hg1+,Li1+,O2-
La3+,Ni4+,Li1+,O2-
Tm3+,Sn4+,Li1+,O2-
Ce3+,Ni4+,Li1+,O2-
Pr3+,Ni4+,Li1+,O2-
Nd3+,Fe4+,Li1+,O2-
Na1+,Re7+,Li1+,O2-
La3+,S4+,Li1+,O2-
Yb3+,Sn4+,Li1+,O2-
Nd3+,Ni4+,Li1+,O2-
Ce3+,S4+,Li1+,O2-
Y3+,P4+,Li1+,O2-
Lu3+,Sn4+,Li1+,O2-
Sc3+,C4+,Li1+,O2-
Pr3+,S4+,Li1+,O2-
Zr3+,P4+,Li1+,O2-
Sm3+,Fe4+,Li1+,O2-
Co3+,Cr4+,Li1+,O2-
La3+,Si4+,Li1+,O2-
Nd3+,S4+,Li1+,O2-
Eu3+,Fe4+,Li1+,O2-
Ce3+,Si4+,Li1+,O2-
In3+,Re4+,Li1+,O2-
In1+,Re7+,Li1+,O2-
Pr3+,Si4+,Li1+,O2-
Sm3+,Ni4+,Li1+,O2-
La3+,Ti4+,Li1+,O2-
La3+,Se4+,Li1+,O2-
Ce3+,Ti4+,Li1+,O2-
Eu3+,Ni4+,Li1+,O2-
Y3+,Cr4+,Li1+,O2-
Pr3+,Ti4+,Li1+,O2-
Ce3+,Se4+,Li1+,O2-
Ti3+,Re4+,Li1+,O2-
Zr3+,Cr4+,Li1+,O2-
Pr3+,Se4+,Li1+,O2-
Nd3+,Si4+,Li1+,O2-
La3+,Ge4+,Li1+,O2-
Gd3+,Fe4+,Li1+,O2-
V3+,Hf4+,Li1+,O2-
Ce3+,Ge4+,Li1+,O2-
Sm3+,S4+,Li1+,O2-
La3+,Mn4+,Li1+,O2-
Pr3+,Ge4+,Li1+,O2-
Tb3+,Fe4+,Li1+,O2-
Nd3+,Ti4+,Li1+,O2-
Nd3+,Se4+,Li1+,O2-
Ce3+,Mn4+,Li1+,O2-
Gd3+,Ni4+,Li1+,O2-
Eu3+,S4+,Li1+,O2-
Pr3+,Mn4+,Li1+,O2-
Tb3+,Ni4+,Li1+,O2-
Ag3+,Mo4+,Li1+,O2-
Nd3+,Ge4+,Li1+,O2-
Dy3+,Fe4+,Li1+,O2-
Sm3+,Si4+,Li1+,O2-
Mn3+,Re4+,Li1+,O2-
Mn1+,Re7+,Li1+,O2-
Mn5+,Re1+,Li1+,O2-
Nd3+,Mn4+,Li1+,O2-
Ho3+,Fe4+,Li1+,O2-
Dy3+,Ni4+,Li1+,O2-
Eu3+,Si4+,Li1+,O2-
Sm3+,Ti4+,Li1+,O2-
Sm3+,Se4+,Li1+,O2-
Gd3+,S4+,Li1+,O2-
La3+,C4+,Li1+,O2-
V3+,V4+,Li1+,O2-
Er3+,Fe4+,Li1+,O2-
Eu3+,Ti4+,Li1+,O2-
Eu3+,Se4+,Li1+,O2-
Ho3+,Ni4+,Li1+,O2-
Tb3+,S4+,Li1+,O2-
Ce3+,C4+,Li1+,O2-
Sm3+,Ge4+,Li1+,O2-
Co3+,Ce4+,Li1+,O2-
Tm3+,Fe4+,Li1+,O2-
Pr3+,C4+,Li1+,O2-
Co3+,Pr4+,Li1+,O2-
Er3+,Ni4+,Li1+,O2-
Eu3+,Ge4+,Li1+,O2-
Y3+,Ce4+,Li1+,O2-
Sm3+,Mn4+,Li1+,O2-
Y3+,Pr4+,Li1+,O2-
Gd3+,Si4+,Li1+,O2-
Zr3+,Ce4+,Li1+,O2-
Dy3+,S4+,Li1+,O2-
Tm3+,Ni4+,Li1+,O2-
Zr3+,Pr4+,Li1+,O2-
Gd3+,Se4+,Li1+,O2-
Eu3+,Mn4+,Li1+,O2-
Yb3+,Fe4+,Li1+,O2-
Gd3+,Ti4+,Li1+,O2-
Nd3+,C4+,Li1+,O2-
Tb3+,Si4+,Li1+,O2-
Ho3+,S4+,Li1+,O2-
Tb3+,Se4+,Li1+,O2-
Tb3+,Ti4+,Li1+,O2-
Lu3+,Fe4+,Li1+,O2-
Gd3+,Ge4+,Li1+,O2-
Yb3+,Ni4+,Li1+,O2-
Er3+,S4+,Li1+,O2-
Tb3+,Ge4+,Li1+,O2-
Dy3+,Si4+,Li1+,O2-
Lu3+,Ni4+,Li1+,O2-
Dy3+,Se4+,Li1+,O2-
Gd3+,Mn4+,Li1+,O2-
Dy3+,Ti4+,Li1+,O2-
Tm3+,S4+,Li1+,O2-
Ho3+,Si4+,Li1+,O2-
Tb3+,Mn4+,Li1+,O2-
Ho3+,Se4+,Li1+,O2-
Sm3+,C4+,Li1+,O2-
Dy3+,Ge4+,Li1+,O2-
Ho3+,Ti4+,Li1+,O2-
Er3+,Si4+,Li1+,O2-
Er3+,Se4+,Li1+,O2-
Eu3+,C4+,Li1+,O2-
Yb3+,S4+,Li1+,O2-
Ho3+,Ge4+,Li1+,O2-
Er3+,Ti4+,Li1+,O2-
Co3+,Tb4+,Li1+,O2-
Dy3+,Mn4+,Li1+,O2-
Mn5+,K1+,Li1+,O2-
Y3+,Tb4+,Li1+,O2-
Tm3+,Se4+,Li1+,O2-
Tm3+,Si4+,Li1+,O2-
Zr3+,Tb4+,Li1+,O2-
Lu3+,S4+,Li1+,O2-
Tm3+,Ti4+,Li1+,O2-
Er3+,Ge4+,Li1+,O2-
Ho3+,Mn4+,Li1+,O2-
Tm3+,Ge4+,Li1+,O2-
Yb3+,Se4+,Li1+,O2-
Yb3+,Si4+,Li1+,O2-
Er3+,Mn4+,Li1+,O2-
Gd3+,C4+,Li1+,O2-
Ag1+,I7+,Li1+,O2-
Yb3+,Ti4+,Li1+,O2-
Lu3+,Se4+,Li1+,O2-
Tm3+,Mn4+,Li1+,O2-
Lu3+,Si4+,Li1+,O2-
Tb3+,C4+,Li1+,O2-
Yb3+,Ge4+,Li1+,O2-
Lu3+,Ti4+,Li1+,O2-
Lu3+,Ge4+,Li1+,O2-
Yb3+,Mn4+,Li1+,O2-
Dy3+,C4+,Li1+,O2-
Lu3+,Mn4+,Li1+,O2-
Ho3+,C4+,Li1+,O2-
Cr5+,Li1+,Li1+,O2-
Er3+,C4+,Li1+,O2-
Tm3+,C4+,Li1+,O2-
Cr3+,Zr4+,Li1+,O2-
Cr5+,Co1+,Li1+,O2-
Cr3+,Co4+,Li1+,O2-
Ag3+,Te4+,Li1+,O2-
Yb3+,C4+,Li1+,O2-
Lu3+,C4+,Li1+,O2-
La3+,Zr4+,Li1+,O2-
Ce3+,Zr4+,Li1+,O2-
La3+,Co4+,Li1+,O2-
Pr3+,Zr4+,Li1+,O2-
Ce3+,Co4+,Li1+,O2-
Pr3+,Co4+,Li1+,O2-
Nd3+,Zr4+,Li1+,O2-
Sc3+,Zr4+,Li1+,O2-
Nd3+,Co4+,Li1+,O2-
Cr3+,Hf4+,Li1+,O2-
Hg1+,Mn7+,Li1+,O2-
Sc3+,Co4+,Li1+,O2-
La3+,Hf4+,Li1+,O2-
Sm3+,Zr4+,Li1+,O2-
Ce3+,Hf4+,Li1+,O2-
Hg1+,Cl7+,Li1+,O2-
Pr3+,Hf4+,Li1+,O2-
Eu3+,Zr4+,Li1+,O2-
Sm3+,Co4+,Li1+,O2-
V3+,P4+,Li1+,O2-
V5+,P1+,Li1+,O2-
Nd3+,Hf4+,Li1+,O2-
Eu3+,Co4+,Li1+,O2-
Gd3+,Zr4+,Li1+,O2-
Tb3+,Zr4+,Li1+,O2-
Sm3+,Hf4+,Li1+,O2-
Ag3+,W4+,Li1+,O2-
V3+,Cr4+,Li1+,O2-
Sc3+,Hf4+,Li1+,O2-
Gd3+,Co4+,Li1+,O2-
V3+,Ce4+,Li1+,O2-
Eu3+,Hf4+,Li1+,O2-
V3+,Pr4+,Li1+,O2-
Tb3+,Co4+,Li1+,O2-
Dy3+,Zr4+,Li1+,O2-
Ho3+,Zr4+,Li1+,O2-
Gd3+,Hf4+,Li1+,O2-
Dy3+,Co4+,Li1+,O2-
Tb3+,Hf4+,Li1+,O2-
Er3+,Zr4+,Li1+,O2-
Ho3+,Co4+,Li1+,O2-
Tm3+,Zr4+,Li1+,O2-
Dy3+,Hf4+,Li1+,O2-
Y3+,Re4+,Li1+,O2-
Zr3+,Re4+,Li1+,O2-
Er3+,Co4+,Li1+,O2-
Ho3+,Hf4+,Li1+,O2-
Yb3+,Zr4+,Li1+,O2-
Tm3+,Co4+,Li1+,O2-
Er3+,Hf4+,Li1+,O2-
Lu3+,Zr4+,Li1+,O2-
Tm3+,Hf4+,Li1+,O2-
V3+,Tb4+,Li1+,O2-
Yb3+,Co4+,Li1+,O2-
Co1+,Re7+,Li1+,O2-
Co3+,Re4+,Li1+,O2-
Yb3+,Hf4+,Li1+,O2-
Lu3+,Co4+,Li1+,O2-
Lu3+,Hf4+,Li1+,O2-
Li1+,Re7+,Li1+,O2-
La3+,V4+,Li1+,O2-
Ce3+,V4+,Li1+,O2-
Pr3+,V4+,Li1+,O2-
Ag1+,Br7+,Li1+,O2-
Nd3+,V4+,Li1+,O2-
Sm3+,V4+,Li1+,O2-
Eu3+,V4+,Li1+,O2-
Cr3+,V4+,Li1+,O2-
In3+,Mo4+,Li1+,O2-
Fe3+,Mo4+,Li1+,O2-
Gd3+,V4+,Li1+,O2-
Tb3+,V4+,Li1+,O2-
V5+,Hg1+,Li1+,O2-
Dy3+,V4+,Li1+,O2-
Ho3+,V4+,Li1+,O2-
Er3+,V4+,Li1+,O2-
Tm3+,V4+,Li1+,O2-
Yb3+,V4+,Li1+,O2-
Lu3+,V4+,Li1+,O2-
La3+,Ce4+,Li1+,O2-
