Pretty Formula,A,B,C,D,sus_factor
Li7Nd3(IrO6)2,Nd3+,Ir4+,Li1+,O2-,4859.287510973872
Li7Pr3(OsO6)2,Pr3+,Os4+,Li1+,O2-,4860.001896982816
Li7Pr3(OsO6)2,Pr3+,Os2-,Li1+,O1-,4860.001896982816
Li7Ce3(OsO6)2,Ce3+,Os4+,Li1+,O2-,4864.015691368768
Li7Ce3(OsO6)2,Ce3+,Os2-,Li1+,O1-,4864.015691368768
Li7Tl3(AsO6)2,Tl1+,As1+,Li1+,O1-,4867.517795667859
Li7La3(OsO6)2,La3+,Os4+,Li1+,O2-,4870.188799930187
Li7La3(OsO6)2,La3+,Os2-,Li1+,O1-,4870.188799930187
Li7Pr3(IrO6)2,Pr3+,Ir4+,Li1+,O2-,4876.083944750434
Li7Tl3(NO6)2,Tl1+,N1+,Li1+,O1-,4876.1854218082335
Li7Tl3(NO6)2,Tl3+,N4+,Li1+,O2-,4876.1854218082335
Li7Tl3(NO6)2,Tl3+,N2-,Li1+,O1-,4876.1854218082335
Li7Ce3(IrO6)2,Ce3+,Ir4+,Li1+,O2-,4880.1190171670705
Li7Nb3(SiO6)2,Nb1+,Si1+,Li1+,O1-,4881.1606597557475
Li7Nb3(SiO6)2,Nb3+,Si2-,Li1+,O1-,4881.1606597557475
Li7Nb3(SiO6)2,Nb3+,Si4+,Li1+,O2-,4881.1606597557475
Li7Nb3(SiO6)2,Nb5+,Si1+,Li1+,O2-,4881.1606597557475
Li7Nd3(PtO6)2,Nd3+,Pt2-,Li1+,O1-,4882.152432904318
Li7Nd3(PtO6)2,Nd3+,Pt4+,Li1+,O2-,4882.152432904318
Li7Nb3(WO6)2,Nb5+,W1+,Li1+,O2-,4886.039607659681
Li7Nb3(WO6)2,Nb3+,W4+,Li1+,O2-,4886.039607659681
Li7Nb3(WO6)2,Nb1+,W1+,Li1+,O1-,4886.039607659681
Li7Nb3(WO6)2,Nb3+,W2-,Li1+,O1-,4886.039607659681
Li7La3(IrO6)2,La3+,Ir4+,Li1+,O2-,4886.324714534294
Li7Mg2Nb3O12,Nb1+,Mg1+,Li1+,O1-,4890.0361244533315
Li7Mg2Nb3O12,Nb5+,Mg1+,Li1+,O2-,4890.0361244533315
K2Li7(BiO4)3,Bi5+,K1+,Li1+,O2-,4890.174952861192
K2Li7(BiO4)3,Bi1+,K1+,Li1+,O1-,4890.174952861192
Li7Tl3(CO6)2,Tl1+,C1+,Li1+,O1-,4896.088253264508
Li7Tl3(CO6)2,Tl3+,C4+,Li1+,O2-,4896.088253264508
Li7Tl3(CO6)2,Tl3+,C2-,Li1+,O1-,4896.088253264508
Li7Nb3Al2O12,Nb5+,Al1+,Li1+,O2-,4896.108978070978
Li7Nb3Al2O12,Nb1+,Al1+,Li1+,O1-,4896.108978070978
Rb2Li7(BiO4)3,Bi1+,Rb1+,Li1+,O1-,4898.926541561776
Rb2Li7(BiO4)3,Bi5+,Rb1+,Li1+,O2-,4898.926541561776
Li7Pr3(PtO6)2,Pr3+,Pt4+,Li1+,O2-,4899.074554276898
Li7Pr3(PtO6)2,Pr3+,Pt2-,Li1+,O1-,4899.074554276898
Li7Ce3(PtO6)2,Ce3+,Pt2-,Li1+,O1-,4903.139561588962
Li7Ce3(PtO6)2,Ce3+,Pt4+,Li1+,O2-,4903.139561588962
Li7La3(PtO6)2,La3+,Pt2-,Li1+,O1-,4909.391100818613
Li7La3(PtO6)2,La3+,Pt4+,Li1+,O2-,4909.391100818613
Na2Li7Nb3O12,Nb5+,Na1+,Li1+,O2-,4910.464676368131
Na2Li7Nb3O12,Nb1+,Na1+,Li1+,O1-,4910.464676368131
Cs3Li7(BiO6)2,Cs1+,Bi7+,Li1+,O2-,4918.506051120796
Cs3Li7(BiO6)2,Cs1+,Bi1+,Li1+,O1-,4918.506051120796
Li7Tl3Cr2O12,Tl3+,Cr4+,Li1+,O2-,4919.908555917954
Li7Tl3Cr2O12,Tl1-,Cr4+,Li1+,O1-,4919.908555917954
Li7Tl3Cr2O12,Tl1+,Cr1+,Li1+,O1-,4919.908555917954
K3Li7(RuO6)2,K1+,Ru7+,Li1+,O2-,4931.486762758192
K3Li7(RuO6)2,K1+,Ru1+,Li1+,O1-,4931.486762758192
Rb3Li7(RuO6)2,Rb1+,Ru1+,Li1+,O1-,4942.765738570826
Rb3Li7(RuO6)2,Rb1+,Ru7+,Li1+,O2-,4942.765738570826
Li7Tl3(BO6)2,Tl1+,B1+,Li1+,O1-,4945.189630636463
K3Li7(RhO6)2,K1+,Rh1+,Li1+,O1-,4951.470438224706
Li7Ta2Tl3O12,Tl3+,Ta4+,Li1+,O2-,4954.351480924067
Li7Ta2Tl3O12,Tl1-,Ta4+,Li1+,O1-,4954.351480924067
K3Li7Tl2O12,K1+,Tl1+,Li1+,O1-,4958.730999751774
Rb3Li7(RhO6)2,Rb1+,Rh1+,Li1+,O1-,4958.735003789161
Rb3Li7Tl2O12,Rb1+,Tl1+,Li1+,O1-,4963.252655424269
Li7Tl3(IO6)2,Tl1+,I1+,Li1+,O1-,4969.414937974535
Li7Tl3(IO6)2,Tl3+,I4+,Li1+,O2-,4969.414937974535
Li7Tl3(IO6)2,Tl1+,I7+,Li1+,O2-,4969.414937974535
Li7Sc2Tl3O12,Tl1+,Sc1+,Li1+,O1-,4970.255376341408
Rb3Li7(PdO6)2,Rb1+,Pd1+,Li1+,O1-,4988.851026565489
K3Li7(PdO6)2,K1+,Pd1+,Li1+,O1-,4989.01654364256
Li7Nb3V2O12,Nb5+,V1+,Li1+,O2-,4989.186311501588
Li7Nb3V2O12,Nb3+,V4+,Li1+,O2-,4989.186311501588
Li7Nb3V2O12,Nb1+,V1+,Li1+,O1-,4989.186311501588
Cs2Li7(BiO4)3,Bi1+,Cs1+,Li1+,O1-,4991.1013744815755
Cs2Li7(BiO4)3,Bi5+,Cs1+,Li1+,O2-,4991.1013744815755
Li7Tl3(TeO6)2,Tl3+,Te4+,Li1+,O2-,4992.215602125184
Li7Tl3(TeO6)2,Tl3+,Te2-,Li1+,O1-,4992.215602125184
Li7Be2Tl3O12,Tl1+,Be1+,Li1+,O1-,4998.696061140473
Li7Zr3(OsO6)2,Zr1+,Os1+,Li1+,O1-,5000.263772088397
Li7Zr3(OsO6)2,Zr3+,Os4+,Li1+,O2-,5000.263772088397
Li7Zr3(OsO6)2,Zr3+,Os2-,Li1+,O1-,5000.263772088397
